Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1981","1981","tonnes","167","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1982","1982","tonnes","61","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1983","1983","tonnes","71","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1984","1984","tonnes","5503","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1985","1985","tonnes","3972","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1986","1986","tonnes","333784","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1987","1987","tonnes","350403","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1988","1988","tonnes","428581","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1989","1989","tonnes","513595","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1990","1990","tonnes","478422","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1991","1991","tonnes","564075","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1992","1992","tonnes","693678","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1993","1993","tonnes","690058","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1994","1994","tonnes","755059","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1995","1995","tonnes","800242","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1996","1996","tonnes","778856","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1997","1997","tonnes","682144","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1998","1998","tonnes","690330","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1999","1999","tonnes","779220","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5922","Export Value","02211","Raw milk of cattle","1961","1961","1000 US$","436","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5922","Export Value","02211","Raw milk of cattle","1962","1962","1000 US$","1180","A","Official figure"
